customer_id,revenue
1617b1357756262bfa56ab541c47bc16,13440.00
ec5b2ba62e574342386871631fafd3fc,7160.00
c6e2731c5b391845f6800c97401a43a9,6735.00
f48d464a0baaea338cb25f816991ab1f,6729.00
3fd6777bbce08a352fddd04e4a7cc8f6,6499.00
05455dfa7cd02f13d132aa7a6a9729c6,5934.60
df55c14d1476a9a3467f131269c2477f,4799.00
24bbf5fd2f2e1b359ee7de94defc4a15,4690.00
e0a2412720e9ea4f26c1ac985f6a7358,4599.90
3d979689f636322c62418b6346b1c6d2,4590.00
cc803a2c412833101651d3f90ca7de24,4400.00
1afc82cd60e303ef09b4ef9837c9505c,4399.87
35a413c7ca3c69756cb75867d6311c0d,4099.99
e9b0d0eb3015ef1c9ce6cf5b9dcbee9f,4059.00
c6695e3b1e48680db36b487419fb0398,3999.90
926b6a6fb8b6081e00b335edaf578d35,3999.00
3be2c536886b2ea4668eced3a80dd0bb,3980.00
31e83c01fce824d0ff786fcd48dad009,3930.00
eb7a157e8da9c488cd4ddc48711f1097,3899.00
19b32919fa1198aefc0773ee2e46e693,3700.00
